ar,sveitarfelag,hluti,heildarskuldir,eignir,tekjur,gjold,afskriftir,fjarmagnslidir,eigid_fe,veltufjarmunir,skammtimakrofur_eigin_fyrirtaeki,skammtimaskuldir,veltufe,mannfjoldi,nettoskuldir,skuldir_hlutf_tekjur,nettoskuldir_hlutf_tekjur,veltufjarhlutfall,eignahlutf,rekstrarnidurstada,rekstrarnidurstada_hlutf,framlegd,framlegd_hlutf,eiginfjarhlutfall,skuldahlutfall,skuldir_per_ibui,veltufe_hlutf_tekjur
2013,Mosfellsbær,A-hluti,8629503000,12064280000,6259986000,5886767000,241255000,-404161000,3434777000,844988000,101126000,1964716000,506672000,8978,7885641000,1.3785179391774998,1.2596898779006853,0.43008149778390364,1.3980272096782398,-30942000,-0.004942822555833192,210313000,0.033596401014315366,0.2847063397069697,0.7152936602930303,961183.2256627311,0.08093820018127836
2012,Reykjavíkurborg,A-hluti,60813999000,143122297000,73078341000,72912916000,3357411000,-209127000,82308298000,21510428000,222281000,11593743000,7152866000,118814,39525852000,0.832175418432118,0.5408695854220336,1.8553480096979897,2.353443275453732,-43702000,-5.980157650267402e-4,3313709000,0.0453446117502859,0.575090672280085,0.42490932771991496,511842.03040045785,0.09787942504058761
2012,Kópavogsbær,A-hluti,34251010000,50214204000,18884626000,16524040000,1085812000,-2288973000,15963194000,3470752000,61265000,9682191000,1864894000,31205,30841523000,1.813698084357085,1.6331550860472428,0.35846762370211455,1.46606491312227,71613000,0.0037921322879256388,1157425000,0.0612892730838302,0.31790196256023495,0.682098037439765,1097612.8825508733,0.0987519689296468
2012,Seltjarnarnesbær,A-hluti,1615102000,5868316000,2632257000,2440009000,78893000,50141000,4253214000,1623361000,915979000,613707000,386450000,4313,907720000,0.6135806648059061,0.34484474730241005,2.6451726964170197,3.6334027200758836,242389000,0.09208409361243981,321282000,0.12205571112547141,0.7247758982304293,0.2752241017695707,374472.98863899836,0.14681317211807204
2012,Garðabær,A-hluti,5943595000,15997182000,6876693000,6332015000,364324000,-150226000,10053587000,2180065000,824669000,1858186000,974533000,13702,4588199000,0.864310068807783,0.6672100964809684,1.1732221639814313,2.6914993366809146,394452000,0.05736071102781526,758776000,0.11034024639459694,0.6284598749954836,0.3715401250045164,433775.72617136186,0.141715356494757
2012,Hafnarfjarðarkaupstaður,A-hluti,33956231000,37478988000,15322945000,14184269000,614372000,-2282315000,3522757000,2418846000,10705000,5429602000,1379400000,26486,31548090000,2.216038170208142,2.058879020971491,0.44549232153664303,1.1037440521593813,-1143639000,-0.07463571787277185,-529267000,-0.034540814445264925,0.09399285274191502,0.906007147258085,1282044.5140829117,0.09002185937494392
2012,Mosfellsbær,A-hluti,7953195000,11568441000,5728334000,5279383000,227495000,-437224000,3615246000,1104822000,236758000,1807358000,532462000,8854,7085131000,1.388395823288237,1.2368571734818536,0.6112911775088278,1.4545652407617315,11727000,0.0020471920806293766,239222000,0.04176118222156739,0.31250935195157237,0.6874906480484276,898260.1084255704,0.09295233134101469
2011,Reykjavíkurborg,A-hluti,56955793000,136798762000,68577412000,71002716000,3157651000,-382848000,79842969000,22337990000,1437913000,11924709000,6871830000,118898,36055716000,0.830532843671616,0.5257666474786188,1.873252420667037,2.40184105592209,-2808152000,-0.040948643556277683,349499000,0.00509641571192567,0.5836527160969484,0.41634728390305165,479030.70699254825,0.10020544373998833
2011,Kópavogsbær,A-hluti,33120466000,48534063000,16744894000,15550317000,1081690000,-2084471000,15413597000,2926887000,29257000,3170943000,1878273000,30779,30222836000,1.9779442019758382,1.804898615661586,0.9230336212287638,1.465379834933482,-889894000,-0.053144200255910844,191796000,0.011453999051890087,0.3175830756225787,0.6824169243774213,1076073.491666396,0.11216989489452725
2011,Seltjarnarnesbær,A-hluti,1688929000,5676702000,2427733000,2339774000,77721000,51271000,3987773000,1530690000,817279000,676344000,280318000,4320,975518000,0.6956815267576789,0.40182260569840256,2.2631826407863453,3.361125304852957,139230000,0.05734979917478569,216951000,0.08936361618019774,0.702480595247029,0.297519404752971,390955.787037037,0.11546492138962564
